job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Dragoon,7,attack,90,,90,auto,,,,,,
Dragoon,25772,Chaotic Spring,90,,100,direct,61,260,28,140,66,300
Dragoon,1002719,Chaotic Spring (tick),90,,45,physical-dot,,,,,,
Dragoon,16477,Coerthan Torment,90,,100,direct,33,150,,,,
Dragoon,87,Disembowel,90,,140,direct,44,250,,,,
Dragoon,25770,Draconian Fury,90,,130,direct,,,,,,
Dragoon,96,Dragonfire Dive,90,,300,direct,,,,,,
Dragoon,3554,Fang and Claw,90,combo_finisher,360,direct,,,10,400,,
Dragoon,3554,Fang and Claw,90,no_finisher,260,direct,,,13,300,,
Dragoon,3555,Geirskogul,90,,260,direct,,,,,,
Dragoon,25771,Heavens' Thrust,90,,100,direct,79,480,,,,
Dragoon,16478,High Jump,90,,400,direct,,,,,,
Dragoon,7399,Mirage Dive,90,,200,direct,,,,,,
Dragoon,7400,Nastrond,90,,360,direct,,,,,,
Dragoon,90,Piercing Talon,90,,150,direct,,,,,,
Dragoon,16479,Raiden Thrust,90,,280,direct,,,,,,
Dragoon,7397,Sonic Thrust,90,,100,direct,16,120,,,,
Dragoon,95,Spineshatter Dive,90,,250,direct,,,,,,
Dragoon,16480,Stardiver,90,,620,direct,,,,,,
Dragoon,75,True Thrust,90,,230,direct,,,,,,
Dragoon,78,Vorpal Thrust,90,,130,direct,53,280,,,,
Dragoon,3556,Wheeling Thrust,90,combo_finisher,360,direct,,,10,400,,
Dragoon,3556,Wheeling Thrust,90,no_finisher,260,direct,,,13,300,,
Dragoon,25773,Wyrmwind Thrust,90,,420,direct,,,,,,
