job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Monk,7,attack,90,,90,auto,,,,,,
Monk,53,Bootshine,90,,210,direct,,,,,,
Monk,53,Bootshine,90,1001861,310,direct,,,,,,
Monk,66,Demolish,90,,70,direct,,,46,130,,
Monk,1000246,Demolish (tick),90,,70,physical-dot,,,,,,
Monk,74,Dragon Kick,90,,320,direct,,,,,,
Monk,3545,Elixir Field,90,,600,direct,,,,,,
Monk,16474,Enlightenment,90,,170,direct,,,,,,
Monk,16473,Four-point Fury,90,,120,direct,,,,,,
Monk,25769,Phantom Rush,90,,1150,direct,,,,,,
Monk,25768,Rising Phoenix,90,,700,direct,,,,,,
Monk,70,Rockbreaker,90,,130,direct,,,,,,
Monk,25767,Shadow of the Destroyer,90,,110,direct,,,,,,
Monk,16476,Six-sided Star,90,,550,direct,,,,,,
Monk,56,Snap Punch,90,,250,direct,,,19,310,,
Monk,3547,the Forbidden Chakra,90,,340,direct,,,,,,
Monk,54,True Strike,90,,300,direct,,,,,,
Monk,61,Twin Snakes,90,,280,direct,,,,,,
