job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Ninja,2255,Aeolian Edge,90,,140,direct,63,380,,200,68,440
Ninja,17415,Aeolian Edge (Pet),90,,160,pet,,,,,,
Ninja,3563,Armor Crush,90,,140,direct,61,360,,200,66,420
Ninja,17417,Armor Crush (Pet),90,,160,pet,,,,,,
Ninja,7,attack,90,,90,auto,,,,,,
Ninja,7402,Bhavacakra,90,,350,direct,,,,,,
Ninja,7402,Bhavacakra,90,1002689,500,direct,,,,,,
Ninja,2254,Death Blossom,90,,100,direct,,,,,,
Ninja,1000501,Doton,90,,80,direct,,,,,,
Ninja,3566,Dream Within a Dream,90,,150,direct,,,,,,
Ninja,25778,Fleeting Raiju,90,,560,direct,,,,,,
Ninja,25879,Fleeting Raiju (Pet),90,,160,pet,,,,,,
Ninja,25777,Forked Raiju,90,,560,direct,,,,,,
Ninja,25777,Forked Raiju (Pet),90,,160,direct,,,,,,
Ninja,2265,Fuma Shuriken,90,,450,direct,,,,,,
Ninja,18873,Fuma Shuriken,90,,450,direct,,,,,,
Ninja,18874,Fuma Shuriken,90,,450,direct,,,,,,
Ninja,18875,Fuma Shuriken,90,,450,direct,,,,,,
Ninja,16491,Goka Mekkyaku,90,,600,direct,,,,,,
Ninja,2242,Gust Slash,90,,160,direct,50,320,,,,
Ninja,17414,Gust Slash (Pet),90,,160,direct,,,,,,
Ninja,16488,Hakke Mujinsatsu,90,,100,direct,23,130,,,,
Ninja,7401,Hellfrog Medium,90,,160,direct,,,,,,
Ninja,25776,Hollow Nozuchi,90,,50,direct,,,,,,
Ninja,25876,Huraijin (Pet),90,,160,direct,,,,,,
Ninja,25876,Huraijin,90,,200,direct,,,,,,
Ninja,16492,Hyosho Ranryu,90,,1300,direct,,,,,,
Ninja,18876,Katon,90,,350,direct,,,,,,
Ninja,2248,Mug,90,,150,direct,,,,,,
Ninja,25775,Phantom Kamaitachi (Pet),90,,600,pet,,,,,,
Ninja,2267,Raiton,90,,650,direct,,,,,,
Ninja,18877,Raiton,90,,650,direct,,,,,,
Ninja,2240,Spinning Edge,90,,220,direct,,,,,,
Ninja,17413,Spinning Edge (Pet),90,,160,pet,,,,,,
Ninja,2271,Suiton,90,,500,direct,,,,,,
Ninja,18881,Suiton,90,,500,direct,,,,,,
Ninja,2247,Throwing Dagger,90,,120,direct,,,,,,
Ninja,2258,Trick Attack,90,,300,direct,,,25,400,,
