job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Dancer,16005,Saber Dance,90,,480,direct,,,,,,
Dancer,16192,Double Standard Finish,90,,720,direct,,,,,,
Dancer,15996,Bloodshower,90,,180,direct,,,,,,
Dancer,7,attack,90,,90,auto,,,,,,
Dancer,16009,Fan Dance III,90,,200,direct,,,,,,
Dancer,16196,Quadruple Technical Finish,90,,1200,direct,,,,,,
Dancer,25792,Starfall Dance,90,,600,direct,,,,,,
Dancer,16008,Fan Dance II,90,,100,direct,,,,,,
Dancer,25791,Fan Dance IV,90,,300,direct,,,,,,
Dancer,15994,Bladeshower,90,,100,direct,28,140,,,,
Dancer,15995,Rising Windmill,90,,140,direct,,,,,,
Dancer,15993,Windmill,90,,100,direct,,,,,,
Dancer,15991,Reverse Cascade,90,,280,direct,,,,,,
Dancer,15992,Fountainfall,90,,340,direct,,,,,,
Dancer,25790,Tillana,90,,360,direct,,,,,,
Dancer,15990,Fountain,90,,100,direct,64,280,,,,
Dancer,15989,Cascade,90,,220,direct,,,,,,
Dancer,16007,Fan Dance,90,,150,direct,,,,,,
