job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Machinist,8,Shot,100,,80,auto,,,,,,
Machinist,2874,Gauss Round,100,,130,direct,,,,,,
Machinist,2890,Ricochet,100,,130,direct,,,,,,
Machinist,7410,Heat Blast,100,,220,direct,,,,,,
Machinist,7411,Heated Split Shot,100,,220,direct,,,,,,
Machinist,7412,Heated Slug Shot,100,,140,direct,56,320,,,,
Machinist,7413,Heated Clean Shot,100,,140,direct,65,400,,,,
Machinist,16497,Auto Crossbow,100,,160,direct,,,,,,
Machinist,16498,Drill,100,,600,direct,,,,,,
Machinist,16499,Bioblaster,100,,50,direct,,,,,,
Machinist,16500,Air Anchor,100,,600,direct,,,,,,
Machinist,16503,Pile Bunker (Pet),100,gauge_50,340,pet,,,,,,
Machinist,16503,Pile Bunker (Pet),100,gauge_60,408,pet,,,,,,
Machinist,16503,Pile Bunker (Pet),100,gauge_70,476,pet,,,,,,
Machinist,16503,Pile Bunker (Pet),100,gauge_80,544,pet,,,,,,
Machinist,16503,Pile Bunker (Pet),100,gauge_90,612,pet,,,,,,
Machinist,16503,Pile Bunker (Pet),100,gauge_100,680,pet,,,,,,
Machinist,16504,Arm Punch (Pet),100,gauge_50,120,pet,,,,,,
Machinist,16504,Arm Punch (Pet),100,gauge_60,144,pet,,,,,,
Machinist,16504,Arm Punch (Pet),100,gauge_70,168,pet,,,,,,
Machinist,16504,Arm Punch (Pet),100,gauge_80,192,pet,,,,,,
Machinist,16504,Arm Punch (Pet),100,gauge_90,216,pet,,,,,,
Machinist,16504,Arm Punch (Pet),100,gauge_100,240,pet,,,,,,
Machinist,17206,Roller Dash (Pet),100,gauge_50,240,pet,,,,,,
Machinist,17206,Roller Dash (Pet),100,gauge_60,288,pet,,,,,,
Machinist,17206,Roller Dash (Pet),100,gauge_70,336,pet,,,,,,
Machinist,17206,Roller Dash (Pet),100,gauge_80,384,pet,,,,,,
Machinist,17206,Roller Dash (Pet),100,gauge_90,432,pet,,,,,,
Machinist,17206,Roller Dash (Pet),100,gauge_100,480,pet,,,,,,
Machinist,25786,Scattergun,100,,160,direct,,,,,,
Machinist,25787,Crowned Collider (Pet),100,gauge_50,390,pet,,,,,,
Machinist,25787,Crowned Collider (Pet),100,gauge_60,468,pet,,,,,,
Machinist,25787,Crowned Collider (Pet),100,gauge_70,546,pet,,,,,,
Machinist,25787,Crowned Collider (Pet),100,gauge_80,624,pet,,,,,,
Machinist,25787,Crowned Collider (Pet),100,gauge_90,702,pet,,,,,,
Machinist,25787,Crowned Collider (Pet),100,gauge_100,780,pet,,,,,,
Machinist,25788,Chain Saw,100,,600,direct,,,,,,
Machinist,1000861,Wildfire (tick),100,wildfire_1,240,physical-dot,,,,,,
Machinist,1000861,Wildfire (tick),100,wildfire_2,480,physical-dot,,,,,,
Machinist,1000861,Wildfire (tick),100,wildfire_3,720,physical-dot,,,,,,
Machinist,1000861,Wildfire (tick),100,wildfire_4,960,physical-dot,,,,,,
Machinist,1000861,Wildfire (tick),100,wildfire_5,1200,physical-dot,,,,,,
Machinist,1000861,Wildfire (tick),100,wildfire_6,1440,physical-dot,,,,,,
Machinist,1001205,Flamethrower (tick),100,,80,physical-dot,,,,,,
Machinist,1001866,Bioblaster (tick),100,,50,physical-dot,,,,,,
Machinist,,Double Check,100,,160,direct,,,,,,
Machinist,,Checkmate,100,,160,direct,,,,,,
Machinist,,Excavator,100,,600,direct,,,,,,
Machinist,,Full Metal Field,100,,700,direct,,,,,,
