job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
DarkKnight,7,attack,100,,90,auto,,,,,,
DarkKnight,3617,Hard Slash,100,,240,direct,,,,,,
DarkKnight,3623,Syphon Strike,100,,200,direct,41,340,,,,
DarkKnight,3632,Souleater,100,,200,direct,52,420,,,,
DarkKnight,7392,Bloodspiller,100,,580,direct,,,,,,
DarkKnight,3621,Unleash,100,,120,direct,,,,,,
DarkKnight,16468,Stalwart Soul,100,,120,direct,25,160,,,,
DarkKnight,7391,Quietus,100,,240,direct,,,,,,
DarkKnight,16470,Edge of Shadow,100,,460,direct,,,,,,
DarkKnight,16469,Flood of Shadow,100,,160,direct,,,,,,
DarkKnight,3643,Carve and Spit,100,,510,direct,,,,,,
DarkKnight,3641,Abyssal Drain,100,,240,direct,,,,,,
DarkKnight,3640,Plunge,100,,150,direct,,,,,,
DarkKnight,25757,Shadowbringer,100,,600,direct,,,,,,
DarkKnight,3624,Unmend,100,,150,direct,,,,,,
DarkKnight,1000749,Salted Earth (tick),100,,50,direct,,,,,,
DarkKnight,25756,Salt and Darkness,100,,500,direct,,,,,,
DarkKnight,,Scarlet Delirium,100,,600,direct,,,,,,
DarkKnight,,Comeuppance,100,,700,direct,,,,,,
DarkKnight,,Torcleaver,100,,800,direct,,,,,,
DarkKnight,,Impalement,100,,320,direct,,,,,,
DarkKnight,,Disesteem (Pet),100,,620,pet,,,,,,
DarkKnight,25881,Shadowbringer (Pet),100,,570,pet,,,,,,
DarkKnight,17904,Abyssal Drain (Pet),100,,420,pet,,,,,,
DarkKnight,17905,Plunge (Pet),100,,420,pet,,,,,,
DarkKnight,17909,Bloodspiller (Pet),100,,420,pet,,,,,,
DarkKnight,17908,Edge of Shadow (Pet),100,,420,pet,,,,,,
DarkKnight,17915,Carve and Spit (Pet),100,,420,pet,,,,,,
