job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Paladin,16460,Atonement,90,,400,direct,,,,,,
Paladin,7,attack,90,,90,auto,,,,,,
Paladin,25748,Blade of Faith,90,1001368,720,direct,,,,,,
Paladin,25748,Blade of Faith,90,,220,direct,,,,,,
Paladin,25749,Blade of Truth,90,1001368,820,direct,,,,,,
Paladin,25749,Blade of Truth,90,,320,direct,,,,,,
Paladin,25750,Blade of Valor,90,1001368,920,direct,,,,,,
Paladin,25750,Blade of Valor,90,,420,direct,,,,,,
Paladin,23,Circle of Scorn,90,,140,direct,,,,,,
Paladin,1000248,Circle of Scorn (tick),90,,30,physical-dot,,,,,,
Paladin,16459,Confiteor,90,,420,direct,,,,,,
Paladin,16459,Confiteor,90,1001368,920,direct,,,,,,
Paladin,25747,Expiacion,90,,450,direct,,,,,,
Paladin,9,Fast Blade,90,,200,direct,,,,,,
Paladin,3538,Goring Blade,90,,700,direct,,,,,,
Paladin,16458,Holy Circle,90,,100,direct,,,,,,
Paladin,16458,Holy Circle,90,1001368,300,direct,,,,,,
Paladin,16458,Holy Circle,90,1002673,200,direct,,,,,,
Paladin,7384,Holy Spirit,90,,350,direct,,,,,,
Paladin,7384,Holy Spirit,90,1001368,650,direct,,,,,,
Paladin,7384,Holy Spirit,90,1002673,450,direct,,,,,,
Paladin,16461,Intervene,90,,150,direct,,,,,,
Paladin,16457,Prominence,90,,100,direct,41,170,,,,
Paladin,7383,Requiescat,90,,320,direct,,,,,,
Paladin,15,Riot Blade,90,,140,direct,53,300,,,,
Paladin,3539,Royal Authority,90,,140,direct,65,400,,,,
Paladin,24,Shield Lob,90,,100,direct,,,,,,
Paladin,7381,Total Eclipse,90,,100,direct,,,,,,
