job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Warrior,31,Heavy Swing,90,,200,direct,,,,,,
Warrior,37,Maim,90,,150,direct,50,300,,,,
Warrior,42,Storm's Path,90,,160,direct,63,440,,,,
Warrior,45,Storm's Eye,90,,160,direct,63,440,,,,
Warrior,3549,Fell Cleave,90,,520,direct,,,,,,
Warrior,16465,Inner Chaos,90,,660,direct,,,,,,
Warrior,25753,Primal Rend,90,,700,direct,,,,,,
Warrior,7387,Upheaval,90,,400,direct,,,,,,
Warrior,7386,Onslaught,90,,150,direct,,,,,,
Warrior,1000089,Vengeance,90,,55,direct,,,,,,
Warrior,7,attack,90,,90,auto,,,,,,
Warrior,41,Overpower,90,,110,direct,,,,,,
Warrior,16462,Mythril Tempest,90,,100,direct,33,150,,,,
Warrior,3550,Decimate,90,,200,direct,,,,,,
Warrior,16463,Chaotic Cyclone,90,,320,direct,,,,,,
Warrior,25752,Orogeny,90,,150,direct,,,,,,
Warrior,46,Tomahawk,90,,150,direct,,,,,,
