buff_id,affected_action_id,hit_type,valid_start,valid_end
1001177,3549,3,6.2,10.0
1001177,3550,3,6.2,10.0
1000107,53,1,6.2,10.0
1000116,25771,1,6.2,10.0
1000116,3554,1,6.2,10.0
1000116,16479,1,6.2,10.0
1000116,78,1,6.2,10.0
1000116,3556,1,6.2,10.0
1000116,25772,1,6.2,10.0
1000116,87,1,6.2,10.0
1000851,7410,3,6.2,10.0
1000851,7411,3,6.2,10.0
1000851,7412,3,6.2,10.0
1000851,7413,3,6.2,10.0
1000851,16497,3,6.2,10.0
1000851,16498,3,6.2,10.0
1000851,16499,3,6.2,10.0
1000851,16500,3,6.2,10.0
1000851,25788,3,6.2,10.0
1000851,36981,3,6.2,10.0
