job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency,valid_start,valid_end,potency_falloff
RedMage,7519,Contre Sixte,100,,400,direct,,,,,,,1721109600000,1722322899999,
RedMage,7506,Corps-a-Corps,100,,130,direct,,,,,,,1721109600000,1722322899999,
RedMage,7530,Enchanted Moulinet,100,,130,direct,,,,,,,1721109600000,1722322899999,
RedMage,37002,Enchanted Moulinet Deux,100,,140,direct,,,,,,,1721109600000,1722322899999,
RedMage,37003,Enchanted Moulinet Trois,100,,150,direct,,,,,,,1721109600000,1722322899999,
RedMage,7529,Enchanted Redoublement,100,,170,direct,68,540,,,,,1721109600000,1722322899999,
RedMage,7527,Enchanted Riposte,100,,300,direct,,,,,,,1721109600000,1722322899999,
RedMage,7528,Enchanted Zwerchhau,100,,170,direct,52,360,,,,,1721109600000,1722322899999,
RedMage,16528,Enchanted Reprise,100,,380,direct,,,,,,,1721109600000,1722322899999,
RedMage,16527,Engagement,100,,180,direct,,,,,,,1721109600000,1722322899999,
RedMage,7517,Fleche,100,,480,direct,,,,,,,1721109600000,1722322899999,
RedMage,16526,Impact,100,1001238,260,direct,,,,,,,1721109600000,1722322899999,
RedMage,16526,Impact,100,,210,direct,,,,,,,1721109600000,1722322899999,
RedMage,7524,Jolt II,100,,280,direct,,,,,,,1721109600000,1722322899999,
RedMage,25858,Resolution,100,,800,direct,,,,,,,1721109600000,1722322899999,
RedMage,16530,Scorch,100,,700,direct,,,,,,,1721109600000,1722322899999,
RedMage,16525,Veraero II,100,,140,direct,,,,,,,1721109600000,1722322899999,
RedMage,25856,Veraero III,100,,420,direct,,,,,,,1721109600000,1722322899999,
RedMage,7510,Verfire,100,,380,direct,,,,,,,1721109600000,1722322899999,
RedMage,7525,Verflare,100,,620,direct,,,,,,,1721109600000,1722322899999,
RedMage,7526,Verholy,100,,620,direct,,,,,,,1721109600000,1722322899999,
RedMage,7511,Verstone,100,,380,direct,,,,,,,1721109600000,1722322899999,
RedMage,16524,Verthunder II,100,,140,direct,,,,,,,1721109600000,1722322899999,
RedMage,25855,Verthunder III,100,,420,direct,,,,,,,1721109600000,1722322899999,
RedMage,16529,Reprise,100,,100,direct,,,,,,,1721109600000,1722322899999,
RedMage,7504,Riposte,100,,130,direct,,,,,,,1721109600000,1722322899999,
RedMage,7503,Jolt,100,,170,direct,,,,,,,1721109600000,1722322899999,
RedMage,7512,Zwerchhau,100,,100,direct,33,150,,,,,1721109600000,1722322899999,
RedMage,7515,Displacement,100,,180,direct,,,,,,,1721109600000,1722322899999,
RedMage,7516,Redoublement,100,,100,direct,56,230,,,,,1721109600000,1722322899999,
RedMage,7513,Moulinet,100,,60,direct,,,,,,,1721109600000,1722322899999,
RedMage,7,Attack,100,,90,auto,,,,,,,1721109600000,1722322899999,
RedMage,37005,Vice of Thorns,100,,700,direct,,,,,,,1721109600000,1722322899999,
RedMage,37006,Grand Impact,100,,600,direct,,,,,,,1721109600000,1722322899999,
RedMage,37007,Prefulgence,100,,900,direct,,,,,,,1721109600000,1722322899999,
RedMage,37004,Jolt III,100,,360,direct,,,,,,,1721109600000,1722322899999,
RedMage,7519,Contre Sixte,90,,360,direct,,,,,,,1684836000000,1696327199999,
RedMage,7506,Corps-a-Corps,90,,130,direct,,,,,,,1684836000000,1696327199999,
RedMage,7530,Enchanted Moulinet,90,,130,direct,,,,,,,1684836000000,1696327199999,
RedMage,7529,Enchanted Redoublement,90,,130,direct,74,500,,,,,1684836000000,1696327199999,
RedMage,7527,Enchanted Riposte,90,,280,direct,,,,,,,1684836000000,1696327199999,
RedMage,7528,Enchanted Zwerchhau,90,,150,direct,55,340,,,,,1684836000000,1696327199999,
RedMage,16528,Enchanted Reprise,90,,330,direct,,,,,,,1684836000000,1696327199999,
RedMage,16527,Engagement,90,,180,direct,,,,,,,1684836000000,1696327199999,
RedMage,7517,Fleche,90,,460,direct,,,,,,,1684836000000,1696327199999,
RedMage,16526,Impact,90,1001238,260,direct,,,,,,,1684836000000,1696327199999,
RedMage,16526,Impact,90,,210,direct,,,,,,,1684836000000,1696327199999,
RedMage,7524,Jolt II,90,,310,direct,,,,,,,1684836000000,1696327199999,
RedMage,25858,Resolution,90,,750,direct,,,,,,,1684836000000,1696327199999,
RedMage,16530,Scorch,90,,680,direct,,,,,,,1684836000000,1696327199999,
RedMage,16525,Veraero II,90,,140,direct,,,,,,,1684836000000,1696327199999,
RedMage,25856,Veraero III,90,,380,direct,,,,,,,1684836000000,1696327199999,
RedMage,7510,Verfire,90,,330,direct,,,,,,,1684836000000,1696327199999,
RedMage,7525,Verflare,90,,580,direct,,,,,,,1684836000000,1696327199999,
RedMage,7526,Verholy,90,,580,direct,,,,,,,1684836000000,1696327199999,
RedMage,7511,Verstone,90,,330,direct,,,,,,,1684836000000,1696327199999,
RedMage,16524,Verthunder II,90,,140,direct,,,,,,,1684836000000,1696327199999,
RedMage,25855,Verthunder III,90,,380,direct,,,,,,,1684836000000,1696327199999,
RedMage,16529,Reprise,90,,100,direct,,,,,,,1684836000000,1696327199999,
RedMage,7504,Riposte,90,,130,direct,,,,,,,1684836000000,1696327199999,
RedMage,7503,Jolt,90,,170,direct,,,,,,,1684836000000,1696327199999,
RedMage,7512,Zwerchhau,90,,100,direct,33,150,,,,,1684836000000,1696327199999,
RedMage,7515,Displacement,90,,180,direct,,,,,,,1684836000000,1696327199999,
RedMage,7516,Redoublement,90,,100,direct,56,230,,,,,1684836000000,1696327199999,
RedMage,7513,Moulinet,90,,60,direct,,,,,,,1684836000000,1696327199999,
RedMage,7,Attack,90,,90,auto,,,,,,,1684836000000,1696327199999,
RedMage,7519,Contre Sixte,100,,420,direct,,,,,,,1722322800000,1731427199999,
RedMage,7506,Corps-a-Corps,100,,130,direct,,,,,,,1722322800000,1731427199999,
RedMage,7530,Enchanted Moulinet,100,,130,direct,,,,,,,1722322800000,1731427199999,
RedMage,37002,Enchanted Moulinet Deux,100,,140,direct,,,,,,,1722322800000,1731427199999,
RedMage,37003,Enchanted Moulinet Trois,100,,150,direct,,,,,,,1722322800000,1731427199999,
RedMage,7529,Enchanted Redoublement,100,,170,direct,68,540,,,,,1722322800000,1731427199999,
RedMage,7527,Enchanted Riposte,100,,300,direct,,,,,,,1722322800000,1731427199999,
RedMage,7528,Enchanted Zwerchhau,100,,170,direct,52,360,,,,,1722322800000,1731427199999,
RedMage,16528,Enchanted Reprise,100,,420,direct,,,,,,,1722322800000,1731427199999,
RedMage,16527,Engagement,100,,180,direct,,,,,,,1722322800000,1731427199999,
RedMage,7517,Fleche,100,,480,direct,,,,,,,1722322800000,1731427199999,
RedMage,16526,Impact,100,1001238,260,direct,,,,,,,1722322800000,1731427199999,
RedMage,16526,Impact,100,,210,direct,,,,,,,1722322800000,1731427199999,
RedMage,7524,Jolt II,100,,280,direct,,,,,,,1722322800000,1731427199999,
RedMage,25858,Resolution,100,,800,direct,,,,,,,1722322800000,1731427199999,
RedMage,16530,Scorch,100,,700,direct,,,,,,,1722322800000,1731427199999,
RedMage,16525,Veraero II,100,,140,direct,,,,,,,1722322800000,1731427199999,
RedMage,25856,Veraero III,100,,440,direct,,,,,,,1722322800000,1731427199999,
RedMage,7510,Verfire,100,,380,direct,,,,,,,1722322800000,1731427199999,
RedMage,7525,Verflare,100,,620,direct,,,,,,,1722322800000,1731427199999,
RedMage,7526,Verholy,100,,620,direct,,,,,,,1722322800000,1731427199999,
RedMage,7511,Verstone,100,,380,direct,,,,,,,1722322800000,1731427199999,
RedMage,16524,Verthunder II,100,,140,direct,,,,,,,1722322800000,1731427199999,
RedMage,25855,Verthunder III,100,,440,direct,,,,,,,1722322800000,1731427199999,
RedMage,16529,Reprise,100,,100,direct,,,,,,,1722322800000,1731427199999,
RedMage,7504,Riposte,100,,130,direct,,,,,,,1722322800000,1731427199999,
RedMage,7503,Jolt,100,,170,direct,,,,,,,1722322800000,1731427199999,
RedMage,7512,Zwerchhau,100,,100,direct,33,150,,,,,1722322800000,1731427199999,
RedMage,7515,Displacement,100,,180,direct,,,,,,,1722322800000,1731427199999,
RedMage,7516,Redoublement,100,,100,direct,56,230,,,,,1722322800000,1731427199999,
RedMage,7513,Moulinet,100,,60,direct,,,,,,,1722322800000,1731427199999,
