job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
RedMage,7519,Contre Sixte,100,,420,direct,,,,,,
RedMage,7506,Corps-a-Corps,100,,130,direct,,,,,,
RedMage,7530,Enchanted Moulinet,100,,130,direct,,,,,,
RedMage,37002,Enchanted Moulinet Deux,100,,140,direct,,,,,,
RedMage,37003,Enchanted Moulinet Trois,100,,150,direct,,,,,,
RedMage,7529,Enchanted Redoublement,100,,170,direct,68,540,,,,
RedMage,7527,Enchanted Riposte,100,,300,direct,,,,,,
RedMage,7528,Enchanted Zwerchhau,100,,170,direct,52,360,,,,
RedMage,16528,Enchanted Reprise,100,,420,direct,,,,,,
RedMage,16527,Engagement,100,,180,direct,,,,,,
RedMage,7517,Fleche,100,,480,direct,,,,,,
RedMage,16526,Impact,100,1001238,260,direct,,,,,,
RedMage,16526,Impact,100,,210,direct,,,,,,
RedMage,7524,Jolt II,100,,280,direct,,,,,,
RedMage,25858,Resolution,100,,800,direct,,,,,,
RedMage,16530,Scorch,100,,700,direct,,,,,,
RedMage,16525,Veraero II,100,,140,direct,,,,,,
RedMage,25856,Veraero III,100,,440,direct,,,,,,
RedMage,7510,Verfire,100,,380,direct,,,,,,
RedMage,7525,Verflare,100,,620,direct,,,,,,
RedMage,7526,Verholy,100,,620,direct,,,,,,
RedMage,7511,Verstone,100,,380,direct,,,,,,
RedMage,16524,Verthunder II,100,,140,direct,,,,,,
RedMage,25855,Verthunder III,100,,440,direct,,,,,,
RedMage,16529,Reprise,100,,100,direct,,,,,,
RedMage,7504,Riposte,100,,130,direct,,,,,,
RedMage,7503,Jolt,100,,170,direct,,,,,,
RedMage,7512,Zwerchhau,100,,100,direct,33,150,,,,
RedMage,7515,Displacement,100,,180,direct,,,,,,
RedMage,7516,Redoublement,100,,100,direct,56,230,,,,
RedMage,7513,Moulinet,100,,60,direct,,,,,,
RedMage,7,Attack,100,,90,auto,,,,,,
RedMage,37005,Vice of Thorns,100,,700,direct,,,,,,
RedMage,37006,Grand Impact,100,,600,direct,,,,,,
RedMage,37007,Prefulgence,100,,900,direct,,,,,,
RedMage,37004,Jolt III,100,,360,direct,,,,,,
