job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Summoner,25854,Aerial Blast (Pet),90,,750,pet,,,,,,
Summoner,7449,Akh Morn (Pet),90,,1300,pet,,,,,,
Summoner,25820,Astral Impulse,90,,440,direct,,,,,,
Summoner,7,Attack,90,,90,auto,,,,,,
Summoner,25835,Crimson Cyclone,90,,430,direct,,,,,,
Summoner,25885,Crimson Strike,90,,430,direct,,,,,,
Summoner,3582,Deathflare,90,,500,direct,,,,,,
Summoner,25853,Earthen Fury (Pet),90,,750,pet,,,,,,
Summoner,25825,Emerald Rite,90,,230,direct,,,,,,
Summoner,16508,Energy Drain,90,,200,direct,,,,,,
Summoner,181,Fester,90,,340,direct,,,,,,
Summoner,16514,Fountain of Fire,90,,540,direct,,,,,,
Summoner,25852,Inferno (Pet),90,,750,pet,,,,,,
Summoner,25836,Mountain Buster,90,,150,direct,,,,,,
Summoner,16518,Revelation (Pet),90,,1300,pet,,,,,,
Summoner,25823,Ruby Rite,90,,510,direct,,,,,,
Summoner,3579,Ruin III,90,,310,direct,,,,,,
Summoner,7426,Ruin IV,90,,430,direct,,,,,,
Summoner,16519,Scarlet Flame (Pet),90,,150,pet,,,,,,
Summoner,25837,Slipstream,90,,430,direct,,,,,,
Summoner,1002706,Slipstream (tick),90,,30,direct,,,,,,
Summoner,25824,Topaz Rite,90,,330,direct,,,,,,
Summoner,7428,Wyrmwave (Pet),90,,150,pet,,,,,,
Summoner,16515,Brand of Purgatory,90,,240,direct,,,,,,
Summoner,25821,Astral Flare,90,,180,direct,,,,,,
Summoner,3578,Painflare,90,,150,direct,,,,,,
Summoner,25833,Topaz Catastrophe,90,,140,direct,,,,,,
Summoner,25834,Emerald Catastrophe,90,,100,direct,,,,,,
Summoner,16510,Energy Siphon,90,,100,direct,,,,,,
Summoner,25826,Tri-Disaster,90,,120,direct,,,,,,
