job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Reaper,7,Attack,90,,90,auto,,,,,,
Reaper,24389,Blood Stalk,90,,340,direct,,,,,,
Reaper,24398,Communio,90,,1100,direct,,,,,,
Reaper,24396,Cross Reaping,90,,460,direct,,,,,,
Reaper,24396,Cross Reaping,90,1002591,520,direct,,,,,,
Reaper,24383,Gallows,90,,400,direct,,,13,460,,
Reaper,24383,Gallows,90,1002589,460,direct,,,11,520,,
Reaper,24382,Gibbet,90,,400,direct,,,13,460,,
Reaper,24382,Gibbet,90,1002588,460,direct,,,11,520,,
Reaper,24393,Gluttony,90,,520,direct,,,,,,
Reaper,24397,Grim Reaping,90,,200,direct,,,,,,
Reaper,24392,Grim Swathe,90,,140,direct,,,,,,
Reaper,24384,Guillotine,90,,200,direct,,,,,,
Reaper,24386,Harpe,90,,300,direct,,,,,,
Reaper,24388,Harvest Moon,90,,600,direct,,,,,,
Reaper,24375,Infernal Slice,90,,180,direct,64,500,,,,
Reaper,24400,Lemure's Scythe,90,,100,direct,,,,,,
Reaper,24399,Lemure's Slice,90,,240,direct,,,,,,
Reaper,24377,Nightmare Scythe,90,,120,direct,33,180,,,,
Reaper,24385,Plentiful Harvest,90,immortal_sac_1,720,direct,,,,,,
Reaper,24385,Plentiful Harvest,90,immortal_sac_2,760,direct,,,,,,
Reaper,24385,Plentiful Harvest,90,immortal_sac_3,800,direct,,,,,,
Reaper,24385,Plentiful Harvest,90,immortal_sac_4,840,direct,,,,,,
Reaper,24385,Plentiful Harvest,90,immortal_sac_5,880,direct,,,,,,
Reaper,24385,Plentiful Harvest,90,immortal_sac_6,920,direct,,,,,,
Reaper,24385,Plentiful Harvest,90,immortal_sac_7,960,direct,,,,,,
Reaper,24385,Plentiful Harvest,90,immortal_sac_8,1000,direct,,,,,,
Reaper,24378,Shadow of Death,90,,300,direct,,,,,,
Reaper,24373,Slice,90,,320,direct,,,,,,
Reaper,24381,Soul Scythe,90,,180,direct,,,,,,
Reaper,24380,Soul Slice,90,,460,direct,,,,,,
Reaper,24376,Spinning Scythe,90,,140,direct,,,,,,
Reaper,24391,Unveiled Gallows,90,,400,direct,,,,,,
Reaper,24390,Unveiled Gibbet,90,,400,direct,,,,,,
Reaper,24395,Void Reaping,90,,460,direct,,,,,,
Reaper,24395,Void Reaping,90,1002590,520,direct,,,,,,
Reaper,24374,Waxing Slice,90,,160,direct,60,400,,,,
Reaper,24379,Whorl of Death,90,,100,direct,,,,,,
