job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Samurai,7,Attack,90,,90,auto,,,,,,
Samurai,7486,Enpi,90,,100,direct,,,,,,
Samurai,7486,Enpi,90,1001236,260,direct,,,,,,
Samurai,25780,Fuko,90,,100,direct,,,,,,
Samurai,7481,Gekko,90,,120,direct,63,330,29,170,68,380
Samurai,7477,Hakaze,90,,200,direct,,,,,,
Samurai,7489,Higanbana,90,,200,direct,,,,,,
Samurai,1001228,Higanbana (tick),90,,45,physical-dot,,,,,,
Samurai,7496,Hissatsu: Guren,90,,500,direct,,,,,,
Samurai,7492,Hissatsu: Gyoten,90,,100,direct,,,,,,
Samurai,7491,Hissatsu: Kyuten,90,,120,direct,,,,,,
Samurai,16481,Hissatsu: Senei,90,,860,direct,,,,,,
Samurai,7490,Hissatsu: Shinten,90,,250,direct,,,,,,
Samurai,7493,Hissatsu: Yaten,90,,100,direct,,,,,,
Samurai,7478,Jinpu,90,,120,direct,57,280,,,,
Samurai,16485,Kaeshi: Goken,90,,300,direct,,,,,,
Samurai,25782,Kaeshi: Namikiri,90,,860,direct,,,,,,
Samurai,16486,Kaeshi: Setsugekka,90,,640,direct,,,,,,
Samurai,7482,Kasha,90,,120,direct,63,330,29,170,68,380
Samurai,7484,Mangetsu,90,,100,direct,16,120,,,,
Samurai,7487,Midare Setsugekka,90,,640,direct,,,,,,
Samurai,25781,Ogi Namikiri,90,,860,direct,,,,,,
Samurai,7485,Oka,90,,100,direct,16,120,,,,
Samurai,7479,Shifu,90,,120,direct,57,280,,,,
Samurai,16487,Shoha,90,,560,direct,,,,,,
Samurai,25779,Shoha II,90,,200,direct,,,,,,
Samurai,7488,Tenka Goken,90,,300,direct,,,,,,
Samurai,7480,Yukikaze,90,,120,direct,60,300,,,,
