job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Bard,25783,Ladonsbite,90,,130,direct,,,,,,
Bard,16495,Burst Shot,90,,220,direct,,,,,,
Bard,7409,Refulgent Arrow,90,,280,direct,,,,,,
Bard,8,Shot,90,,80,auto,,,,,,
Bard,117,Rain of Death,90,,100,direct,,,,,,
Bard,16494,Shadowbite,90,,170,direct,,,,,,
Bard,16496,Apex Arrow,90,gauge_90,450,direct,,,,,,
Bard,16496,Apex Arrow,90,gauge_100,500,direct,,,,,,
Bard,3558,Empyreal Arrow,90,,240,direct,,,,,,
Bard,7404,Pitch Perfect,90,pp1,100,direct,,,,,,
Bard,7404,Pitch Perfect,90,pp2,220,direct,,,,,,
Bard,7404,Pitch Perfect,90,pp3,360,direct,,,,,,
Bard,1001201,Stormbite (tick),90,,25,physical-dot,,,,,,
Bard,25784,Blast Arrow,90,,600,direct,,,,,,
Bard,110,Bloodletter,90,,110,direct,,,,,,
Bard,3562,Sidewinder,90,,320,direct,,,,,,
Bard,1001200,Caustic Bite (tick),90,,20,physical-dot,,,,,,
Bard,7407,Stormbite,90,,100,direct,,,,,,
Bard,7406,Caustic Bite,90,,150,direct,,,,,,
Bard,3560,Iron Jaws,90,,100,direct,,,,,,
Bard,3559,the Wanderer's Minuet,90,,100,direct,,,,,,
Bard,116,Army's Paeon,90,,100,direct,,,,,,
Bard,114,Mage's Ballad,90,,100,direct,,,,,,
