job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Dancer,16005,Saber Dance,100,,520,direct,,,,,,
Dancer,16192,Double Standard Finish,100,,850,direct,,,,,,
Dancer,15996,Bloodshower,100,,180,direct,,,,,,
Dancer,7,Attack,100,,90,auto,,,,,,
Dancer,16009,Fan Dance III,100,,200,direct,,,,,,
Dancer,16196,Quadruple Technical Finish,100,,1300,direct,,,,,,
Dancer,25792,Starfall Dance,100,,600,direct,,,,,,
Dancer,16008,Fan Dance II,100,,100,direct,,,,,,
Dancer,25791,Fan Dance IV,100,,420,direct,,,,,,
Dancer,15994,Bladeshower,100,,100,direct,28,140,,,,
Dancer,15995,Rising Windmill,100,,140,direct,,,,,,
Dancer,15993,Windmill,100,,100,direct,,,,,,
Dancer,15991,Reverse Cascade,100,,280,direct,,,,,,
Dancer,15992,Fountainfall,100,,340,direct,,,,,,
Dancer,25790,Tillana,100,,600,direct,,,,,,
Dancer,15990,Fountain,100,,120,direct,57,280,,,,
Dancer,15989,Cascade,100,,220,direct,,,,,,
Dancer,16007,Fan Dance,100,,150,direct,,,,,,
Dancer,36983,Last Dance,100,,520,direct,,,,,,
Dancer,36984,Finishing Move,100,,850,direct,,,,,,
Dancer,36985,Dance of the Dawn,100,,1000,direct,,,,,,
