job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
DarkKnight,7,Attack,90,,90,auto,,,,,,
DarkKnight,3617,Hard Slash,90,,170,direct,,,,,,
DarkKnight,3623,Syphon Strike,90,,120,direct,53,260,,,,
DarkKnight,3632,Souleater,90,,120,direct,64,340,,,,
DarkKnight,7392,Bloodspiller,90,,500,direct,,,,,,
DarkKnight,3621,Unleash,90,,120,direct,,,,,,
DarkKnight,16468,Stalwart Soul,90,,100,direct,28,140,,,,
DarkKnight,7391,Quietus,90,,200,direct,,,,,,
DarkKnight,16470,Edge of Shadow,90,,460,direct,,,,,,
DarkKnight,16469,Flood of Shadow,90,,160,direct,,,,,,
DarkKnight,3643,Carve and Spit,90,,510,direct,,,,,,
DarkKnight,3641,Abyssal Drain,90,,240,direct,,,,,,
DarkKnight,3640,Plunge,90,,150,direct,,,,,,
DarkKnight,25757,Shadowbringer,90,,600,direct,,,,,,
DarkKnight,3624,Unmend,90,,150,direct,,,,,,
DarkKnight,1000749,Salted Earth (tick),90,,50,direct,,,,,,
DarkKnight,25756,Salt and Darkness,90,,500,direct,,,,,,
DarkKnight,25881,Shadowbringer (Pet),90,,500,pet,,,,,,
DarkKnight,17904,Abyssal Drain (Pet),90,,350,pet,,,,,,
DarkKnight,17905,Plunge (Pet),90,,350,pet,,,,,,
DarkKnight,17909,Bloodspiller (Pet),90,,350,pet,,,,,,
DarkKnight,17908,Edge of Shadow (Pet),90,,350,pet,,,,,,
DarkKnight,17915,Carve and Spit (Pet),90,,350,pet,,,,,,
