job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Gunbreaker,16137,Keen Edge,90,,200,direct,,,,,,
Gunbreaker,16139,Brutal Shell,90,,200,direct,46,300,,,,
Gunbreaker,16145,Solid Barrel,90,,140,direct,61,360,,,,
Gunbreaker,1001837,Sonic Break (tick),90,,60,physical-dot,,,,,,
Gunbreaker,16153,Sonic Break,90,,300,direct,,,,,,
Gunbreaker,16146,Gnashing Fang,90,,380,direct,,,,,,
Gunbreaker,16147,Savage Claw,90,,460,direct,,,,,,
Gunbreaker,16150,Wicked Talon,90,,540,direct,,,,,,
Gunbreaker,16156,Jugular Rip,90,,200,direct,,,,,,
Gunbreaker,16157,Abdomen Tear,90,,240,direct,,,,,,
Gunbreaker,16158,Eye Gouge,90,,280,direct,,,,,,
Gunbreaker,16165,Blasting Zone,90,,720,direct,,,,,,
Gunbreaker,16162,Burst Strike,90,,380,direct,,,,,,
Gunbreaker,25759,Hypervelocity,90,,180,direct,,,,,,
Gunbreaker,25760,Double Down,90,,1200,direct,,,,,,
Gunbreaker,16159,Bow Shock,90,,150,direct,,,,,,
Gunbreaker,1001838,Bow Shock (tick),90,,60,physical-dot,,,,,,
Gunbreaker,16154,Rough Divide,90,,150,direct,,,,,,
Gunbreaker,7,Attack,90,,90,auto,,,,,,
Gunbreaker,16141,Demon Slice,90,,100,direct,,,,,,
Gunbreaker,16149,Demon Slaughter,90,,100,direct,37,160,,,,
Gunbreaker,16163,Fated Circle,90,,300,direct,,,,,,
Gunbreaker,16143,Lightning Shot,90,,150,direct,,,,,,
