job,ability_id,ability_name,level,buff_id,base_potency,damage_type,combo_bonus,combo_potency,positional_bonus,positional_potency,combo_positional_bonus,combo_positional_potency
Warrior,31,Heavy Swing,100,,220,direct,,,,,,
Warrior,37,Maim,100,,190,direct,44,340,,,,
Warrior,42,Storm's Path,100,,200,direct,58,480,,,,
Warrior,45,Storm's Eye,100,,200,direct,58,480,,,,
Warrior,3549,Fell Cleave,100,,580,direct,,,,,,
Warrior,16465,Inner Chaos,100,,660,direct,,,,,,
Warrior,25753,Primal Rend,100,,700,direct,,,,,,
Warrior,7387,Upheaval,100,,400,direct,,,,,,
Warrior,7386,Onslaught,100,,150,direct,,,,,,
Warrior,1000089,Vengeance,100,,55,direct,,,,,,
Warrior,7,Attack,100,,90,auto,,,,,,
Warrior,41,Overpower,100,,110,direct,,,,,,
Warrior,16462,Mythril Tempest,100,,100,direct,33,150,,,,
Warrior,3550,Decimate,100,,200,direct,,,,,,
Warrior,16463,Chaotic Cyclone,100,,300,direct,,,,,,
Warrior,25752,Orogeny,100,,150,direct,,,,,,
Warrior,46,Tomahawk,100,,150,direct,,,,,,
Warrior,1003832,Damnation,100,,55,direct,,,,,,
Warrior,36924,Primal Wrath,100,,600,direct,,,,,,
Warrior,36925,Primal Ruination,100,,740,direct,,,,,,
